table,_start,_stop,_time,_value,Viavi_GnbDuId,Viavi_NrCgi,Viavi_NrPci,_field,_measurement
2,2023-07-04T03:44:50.625680408Z,2023-07-11T03:44:50.625680408Z,2023-07-10T04:00:00Z,0,1,591749125,5,PEE_AvgPower,cellMetrics
2,2023-07-04T03:44:50.625680408Z,2023-07-11T03:44:50.625680408Z,2023-07-10T04:30:00Z,0,1,591749125,5,PEE_AvgPower,cellMetrics
2,2023-07-04T03:44:50.625680408Z,2023-07-11T03:44:50.625680408Z,2023-07-10T05:00:00Z,0,1,591749125,5,PEE_AvgPower,cellMetrics
2,2023-07-04T03:44:50.625680408Z,2023-07-11T03:44:50.625680408Z,2023-07-10T05:30:00Z,0,1,591749125,5,PEE_AvgPower,cellMetrics
2,2023-07-04T03:44:50.625680408Z,2023-07-11T03:44:50.625680408Z,2023-07-10T06:00:00Z,0,1,591749125,5,PEE_AvgPower,cellMetrics
2,2023-07-04T03:44:50.625680408Z,2023-07-11T03:44:50.625680408Z,2023-07-10T06:30:00Z,0,1,591749125,5,PEE_AvgPower,cellMetrics
2,2023-07-04T03:44:50.625680408Z,2023-07-11T03:44:50.625680408Z,2023-07-10T07:00:00Z,0,1,591749125,5,PEE_AvgPower,cellMetrics
2,2023-07-04T03:44:50.625680408Z,2023-07-11T03:44:50.625680408Z,2023-07-10T07:30:00Z,0,1,591749125,5,PEE_AvgPower,cellMetrics
2,2023-07-04T03:44:50.625680408Z,2023-07-11T03:44:50.625680408Z,2023-07-10T08:00:00Z,0,1,591749125,5,PEE_AvgPower,cellMetrics
2,2023-07-04T03:44:50.625680408Z,2023-07-11T03:44:50.625680408Z,2023-07-10T08:30:00Z,0,1,591749125,5,PEE_AvgPower,cellMetrics
2,2023-07-04T03:44:50.625680408Z,2023-07-11T03:44:50.625680408Z,2023-07-10T09:00:00Z,0,1,591749125,5,PEE_AvgPower,cellMetrics
2,2023-07-04T03:44:50.625680408Z,2023-07-11T03:44:50.625680408Z,2023-07-10T09:30:00Z,0,1,591749125,5,PEE_AvgPower,cellMetrics
2,2023-07-04T03:44:50.625680408Z,2023-07-11T03:44:50.625680408Z,2023-07-10T10:00:00Z,0,1,591749125,5,PEE_AvgPower,cellMetrics
2,2023-07-04T03:44:50.625680408Z,2023-07-11T03:44:50.625680408Z,2023-07-10T10:30:00Z,0,1,591749125,5,PEE_AvgPower,cellMetrics
2,2023-07-04T03:44:50.625680408Z,2023-07-11T03:44:50.625680408Z,2023-07-10T11:00:00Z,0,1,591749125,5,PEE_AvgPower,cellMetrics
2,2023-07-04T03:44:50.625680408Z,2023-07-11T03:44:50.625680408Z,2023-07-10T11:30:00Z,0,1,591749125,5,PEE_AvgPower,cellMetrics
2,2023-07-04T03:44:50.625680408Z,2023-07-11T03:44:50.625680408Z,2023-07-10T12:00:00Z,0,1,591749125,5,PEE_AvgPower,cellMetrics
2,2023-07-04T03:44:50.625680408Z,2023-07-11T03:44:50.625680408Z,2023-07-10T12:30:00Z,0,1,591749125,5,PEE_AvgPower,cellMetrics
2,2023-07-04T03:44:50.625680408Z,2023-07-11T03:44:50.625680408Z,2023-07-10T13:00:00Z,0,1,591749125,5,PEE_AvgPower,cellMetrics
2,2023-07-04T03:44:50.625680408Z,2023-07-11T03:44:50.625680408Z,2023-07-10T13:30:00Z,0,1,591749125,5,PEE_AvgPower,cellMetrics
2,2023-07-04T03:44:50.625680408Z,2023-07-11T03:44:50.625680408Z,2023-07-10T14:00:00Z,0,1,591749125,5,PEE_AvgPower,cellMetrics
2,2023-07-04T03:44:50.625680408Z,2023-07-11T03:44:50.625680408Z,2023-07-10T14:30:00Z,0,1,591749125,5,PEE_AvgPower,cellMetrics
2,2023-07-04T03:44:50.625680408Z,2023-07-11T03:44:50.625680408Z,2023-07-10T15:00:00Z,0,1,591749125,5,PEE_AvgPower,cellMetrics
2,2023-07-04T03:44:50.625680408Z,2023-07-11T03:44:50.625680408Z,2023-07-10T15:30:00Z,0,1,591749125,5,PEE_AvgPower,cellMetrics
2,2023-07-04T03:44:50.625680408Z,2023-07-11T03:44:50.625680408Z,2023-07-10T16:00:00Z,0,1,591749125,5,PEE_AvgPower,cellMetrics
2,2023-07-04T03:44:50.625680408Z,2023-07-11T03:44:50.625680408Z,2023-07-10T16:30:00Z,0,1,591749125,5,PEE_AvgPower,cellMetrics
2,2023-07-04T03:44:50.625680408Z,2023-07-11T03:44:50.625680408Z,2023-07-10T17:00:00Z,0,1,591749125,5,PEE_AvgPower,cellMetrics
3,2023-07-04T03:44:50.625680408Z,2023-07-11T03:44:50.625680408Z,2023-07-07T03:30:00Z,0,1,591749125,5,PEE_Energy,cellMetrics
3,2023-07-04T03:44:50.625680408Z,2023-07-11T03:44:50.625680408Z,2023-07-07T04:00:00Z,0,1,591749125,5,PEE_Energy,cellMetrics
3,2023-07-04T03:44:50.625680408Z,2023-07-11T03:44:50.625680408Z,2023-07-07T04:30:00Z,0,1,591749125,5,PEE_Energy,cellMetrics
3,2023-07-04T03:44:50.625680408Z,2023-07-11T03:44:50.625680408Z,2023-07-07T05:00:00Z,0,1,591749125,5,PEE_Energy,cellMetrics
3,2023-07-04T03:44:50.625680408Z,2023-07-11T03:44:50.625680408Z,2023-07-07T05:30:00Z,0,1,591749125,5,PEE_Energy,cellMetrics
3,2023-07-04T03:44:50.625680408Z,2023-07-11T03:44:50.625680408Z,2023-07-07T06:00:00Z,0,1,591749125,5,PEE_Energy,cellMetrics
3,2023-07-04T03:44:50.625680408Z,2023-07-11T03:44:50.625680408Z,2023-07-07T06:30:00Z,0,1,591749125,5,PEE_Energy,cellMetrics
3,2023-07-04T03:44:50.625680408Z,2023-07-11T03:44:50.625680408Z,2023-07-07T07:00:00Z,0,1,591749125,5,PEE_Energy,cellMetrics
3,2023-07-04T03:44:50.625680408Z,2023-07-11T03:44:50.625680408Z,2023-07-07T07:30:00Z,0,1,591749125,5,PEE_Energy,cellMetrics
3,2023-07-04T03:44:50.625680408Z,2023-07-11T03:44:50.625680408Z,2023-07-07T08:00:00Z,0,1,591749125,5,PEE_Energy,cellMetrics
3,2023-07-04T03:44:50.625680408Z,2023-07-11T03:44:50.625680408Z,2023-07-07T08:30:00Z,0,1,591749125,5,PEE_Energy,cellMetrics
3,2023-07-04T03:44:50.625680408Z,2023-07-11T03:44:50.625680408Z,2023-07-07T09:00:00Z,0,1,591749125,5,PEE_Energy,cellMetrics
3,2023-07-04T03:44:50.625680408Z,2023-07-11T03:44:50.625680408Z,2023-07-07T09:30:00Z,0,1,591749125,5,PEE_Energy,cellMetrics
3,2023-07-04T03:44:50.625680408Z,2023-07-11T03:44:50.625680408Z,2023-07-07T10:00:00Z,0,1,591749125,5,PEE_Energy,cellMetrics
3,2023-07-04T03:44:50.625680408Z,2023-07-11T03:44:50.625680408Z,2023-07-07T10:30:00Z,0,1,591749125,5,PEE_Energy,cellMetrics
3,2023-07-04T03:44:50.625680408Z,2023-07-11T03:44:50.625680408Z,2023-07-07T11:00:00Z,0,1,591749125,5,PEE_Energy,cellMetrics
3,2023-07-04T03:44:50.625680408Z,2023-07-11T03:44:50.625680408Z,2023-07-07T11:30:00Z,0,1,591749125,5,PEE_Energy,cellMetrics
3,2023-07-04T03:44:50.625680408Z,2023-07-11T03:44:50.625680408Z,2023-07-07T12:00:00Z,0,1,591749125,5,PEE_Energy,cellMetrics
3,2023-07-04T03:44:50.625680408Z,2023-07-11T03:44:50.625680408Z,2023-07-07T12:30:00Z,0,1,591749125,5,PEE_Energy,cellMetrics
3,2023-07-04T03:44:50.625680408Z,2023-07-11T03:44:50.625680408Z,2023-07-07T13:00:00Z,0,1,591749125,5,PEE_Energy,cellMetrics
3,2023-07-04T03:44:50.625680408Z,2023-07-11T03:44:50.625680408Z,2023-07-07T13:30:00Z,0,1,591749125,5,PEE_Energy,cellMetrics
3,2023-07-04T03:44:50.625680408Z,2023-07-11T03:44:50.625680408Z,2023-07-07T14:00:00Z,0,1,591749125,5,PEE_Energy,cellMetrics
3,2023-07-04T03:44:50.625680408Z,2023-07-11T03:44:50.625680408Z,2023-07-07T14:30:00Z,0,1,591749125,5,PEE_Energy,cellMetrics
3,2023-07-04T03:44:50.625680408Z,2023-07-11T03:44:50.625680408Z,2023-07-07T15:00:00Z,0,1,591749125,5,PEE_Energy,cellMetrics
3,2023-07-04T03:44:50.625680408Z,2023-07-11T03:44:50.625680408Z,2023-07-07T15:30:00Z,0,1,591749125,5,PEE_Energy,cellMetrics
3,2023-07-04T03:44:50.625680408Z,2023-07-11T03:44:50.625680408Z,2023-07-07T16:00:00Z,0,1,591749125,5,PEE_Energy,cellMetrics
3,2023-07-04T03:44:50.625680408Z,2023-07-11T03:44:50.625680408Z,2023-07-07T16:30:00Z,0,1,591749125,5,PEE_Energy,cellMetrics
3,2023-07-04T03:44:50.625680408Z,2023-07-11T03:44:50.625680408Z,2023-07-07T17:00:00Z,0,1,591749125,5,PEE_Energy,cellMetrics
3,2023-07-04T03:44:50.625680408Z,2023-07-11T03:44:50.625680408Z,2023-07-07T17:30:00Z,0,1,591749125,5,PEE_Energy,cellMetrics
3,2023-07-04T03:44:50.625680408Z,2023-07-11T03:44:50.625680408Z,2023-07-07T18:00:00Z,0,1,591749125,5,PEE_Energy,cellMetrics
3,2023-07-04T03:44:50.625680408Z,2023-07-11T03:44:50.625680408Z,2023-07-07T18:30:00Z,0,1,591749125,5,PEE_Energy,cellMetrics
3,2023-07-04T03:44:50.625680408Z,2023-07-11T03:44:50.625680408Z,2023-07-07T19:00:00Z,0,1,591749125,5,PEE_Energy,cellMetrics
3,2023-07-04T03:44:50.625680408Z,2023-07-11T03:44:50.625680408Z,2023-07-07T19:30:00Z,0,1,591749125,5,PEE_Energy,cellMetrics
3,2023-07-04T03:44:50.625680408Z,2023-07-11T03:44:50.625680408Z,2023-07-07T20:00:00Z,0,1,591749125,5,PEE_Energy,cellMetrics
3,2023-07-04T03:44:50.625680408Z,2023-07-11T03:44:50.625680408Z,2023-07-10T03:30:00Z,0,1,591749125,5,PEE_Energy,cellMetrics
3,2023-07-04T03:44:50.625680408Z,2023-07-11T03:44:50.625680408Z,2023-07-10T04:00:00Z,0,1,591749125,5,PEE_Energy,cellMetrics
3,2023-07-04T03:44:50.625680408Z,2023-07-11T03:44:50.625680408Z,2023-07-10T04:30:00Z,0,1,591749125,5,PEE_Energy,cellMetrics
3,2023-07-04T03:44:50.625680408Z,2023-07-11T03:44:50.625680408Z,2023-07-10T05:00:00Z,0,1,591749125,5,PEE_Energy,cellMetrics
3,2023-07-04T03:44:50.625680408Z,2023-07-11T03:44:50.625680408Z,2023-07-10T05:30:00Z,0,1,591749125,5,PEE_Energy,cellMetrics
3,2023-07-04T03:44:50.625680408Z,2023-07-11T03:44:50.625680408Z,2023-07-10T06:00:00Z,0,1,591749125,5,PEE_Energy,cellMetrics
3,2023-07-04T03:44:50.625680408Z,2023-07-11T03:44:50.625680408Z,2023-07-10T06:30:00Z,0,1,591749125,5,PEE_Energy,cellMetrics
3,2023-07-04T03:44:50.625680408Z,2023-07-11T03:44:50.625680408Z,2023-07-10T07:00:00Z,0,1,591749125,5,PEE_Energy,cellMetrics
3,2023-07-04T03:44:50.625680408Z,2023-07-11T03:44:50.625680408Z,2023-07-10T07:30:00Z,0,1,591749125,5,PEE_Energy,cellMetrics
3,2023-07-04T03:44:50.625680408Z,2023-07-11T03:44:50.625680408Z,2023-07-10T08:00:00Z,0,1,591749125,5,PEE_Energy,cellMetrics
3,2023-07-04T03:44:50.625680408Z,2023-07-11T03:44:50.625680408Z,2023-07-10T08:30:00Z,0,1,591749125,5,PEE_Energy,cellMetrics
3,2023-07-04T03:44:50.625680408Z,2023-07-11T03:44:50.625680408Z,2023-07-10T09:00:00Z,0,1,591749125,5,PEE_Energy,cellMetrics
3,2023-07-04T03:44:50.625680408Z,2023-07-11T03:44:50.625680408Z,2023-07-10T09:30:00Z,0,1,591749125,5,PEE_Energy,cellMetrics
3,2023-07-04T03:44:50.625680408Z,2023-07-11T03:44:50.625680408Z,2023-07-10T10:00:00Z,0,1,591749125,5,PEE_Energy,cellMetrics
3,2023-07-04T03:44:50.625680408Z,2023-07-11T03:44:50.625680408Z,2023-07-10T10:30:00Z,0,1,591749125,5,PEE_Energy,cellMetrics
3,2023-07-04T03:44:50.625680408Z,2023-07-11T03:44:50.625680408Z,2023-07-10T11:00:00Z,0,1,591749125,5,PEE_Energy,cellMetrics
3,2023-07-04T03:44:50.625680408Z,2023-07-11T03:44:50.625680408Z,2023-07-10T11:30:00Z,0,1,591749125,5,PEE_Energy,cellMetrics
3,2023-07-04T03:44:50.625680408Z,2023-07-11T03:44:50.625680408Z,2023-07-10T12:00:00Z,0,1,591749125,5,PEE_Energy,cellMetrics
3,2023-07-04T03:44:50.625680408Z,2023-07-11T03:44:50.625680408Z,2023-07-10T12:30:00Z,0,1,591749125,5,PEE_Energy,cellMetrics
3,2023-07-04T03:44:50.625680408Z,2023-07-11T03:44:50.625680408Z,2023-07-10T13:00:00Z,0,1,591749125,5,PEE_Energy,cellMetrics
3,2023-07-04T03:44:50.625680408Z,2023-07-11T03:44:50.625680408Z,2023-07-10T13:30:00Z,0,1,591749125,5,PEE_Energy,cellMetrics
3,2023-07-04T03:44:50.625680408Z,2023-07-11T03:44:50.625680408Z,2023-07-10T14:00:00Z,0,1,591749125,5,PEE_Energy,cellMetrics
3,2023-07-04T03:44:50.625680408Z,2023-07-11T03:44:50.625680408Z,2023-07-10T14:30:00Z,0,1,591749125,5,PEE_Energy,cellMetrics
3,2023-07-04T03:44:50.625680408Z,2023-07-11T03:44:50.625680408Z,2023-07-10T15:00:00Z,0,1,591749125,5,PEE_Energy,cellMetrics
3,2023-07-04T03:44:50.625680408Z,2023-07-11T03:44:50.625680408Z,2023-07-10T15:30:00Z,0,1,591749125,5,PEE_Energy,cellMetrics
3,2023-07-04T03:44:50.625680408Z,2023-07-11T03:44:50.625680408Z,2023-07-10T16:00:00Z,0,1,591749125,5,PEE_Energy,cellMetrics
3,2023-07-04T03:44:50.625680408Z,2023-07-11T03:44:50.625680408Z,2023-07-10T16:30:00Z,0,1,591749125,5,PEE_Energy,cellMetrics
3,2023-07-04T03:44:50.625680408Z,2023-07-11T03:44:50.625680408Z,2023-07-10T17:00:00Z,0,1,591749125,5,PEE_Energy,cellMetrics
4,2023-07-04T03:44:50.625680408Z,2023-07-11T03:44:50.625680408Z,2023-07-07T03:30:00Z,27,1,591749125,5,QosFlow_TotPdcpPduVolumeDl,cellMetrics
4,2023-07-04T03:44:50.625680408Z,2023-07-11T03:44:50.625680408Z,2023-07-07T04:00:00Z,27,1,591749125,5,QosFlow_TotPdcpPduVolumeDl,cellMetrics
4,2023-07-04T03:44:50.625680408Z,2023-07-11T03:44:50.625680408Z,2023-07-07T04:30:00Z,27,1,591749125,5,QosFlow_TotPdcpPduVolumeDl,cellMetrics
4,2023-07-04T03:44:50.625680408Z,2023-07-11T03:44:50.625680408Z,2023-07-07T05:00:00Z,27,1,591749125,5,QosFlow_TotPdcpPduVolumeDl,cellMetrics
4,2023-07-04T03:44:50.625680408Z,2023-07-11T03:44:50.625680408Z,2023-07-07T05:30:00Z,27,1,591749125,5,QosFlow_TotPdcpPduVolumeDl,cellMetrics
4,2023-07-04T03:44:50.625680408Z,2023-07-11T03:44:50.625680408Z,2023-07-07T06:00:00Z,27,1,591749125,5,QosFlow_TotPdcpPduVolumeDl,cellMetrics
4,2023-07-04T03:44:50.625680408Z,2023-07-11T03:44:50.625680408Z,2023-07-07T06:30:00Z,27,1,591749125,5,QosFlow_TotPdcpPduVolumeDl,cellMetrics
4,2023-07-04T03:44:50.625680408Z,2023-07-11T03:44:50.625680408Z,2023-07-07T07:00:00Z,27,1,591749125,5,QosFlow_TotPdcpPduVolumeDl,cellMetrics
4,2023-07-04T03:44:50.625680408Z,2023-07-11T03:44:50.625680408Z,2023-07-07T07:30:00Z,27,1,591749125,5,QosFlow_TotPdcpPduVolumeDl,cellMetrics
4,2023-07-04T03:44:50.625680408Z,2023-07-11T03:44:50.625680408Z,2023-07-07T08:00:00Z,27,1,591749125,5,QosFlow_TotPdcpPduVolumeDl,cellMetrics
4,2023-07-04T03:44:50.625680408Z,2023-07-11T03:44:50.625680408Z,2023-07-07T08:30:00Z,27,1,591749125,5,QosFlow_TotPdcpPduVolumeDl,cellMetrics
4,2023-07-04T03:44:50.625680408Z,2023-07-11T03:44:50.625680408Z,2023-07-07T09:00:00Z,27,1,591749125,5,QosFlow_TotPdcpPduVolumeDl,cellMetrics
4,2023-07-04T03:44:50.625680408Z,2023-07-11T03:44:50.625680408Z,2023-07-07T09:30:00Z,27,1,591749125,5,QosFlow_TotPdcpPduVolumeDl,cellMetrics
4,2023-07-04T03:44:50.625680408Z,2023-07-11T03:44:50.625680408Z,2023-07-07T10:00:00Z,27,1,591749125,5,QosFlow_TotPdcpPduVolumeDl,cellMetrics
4,2023-07-04T03:44:50.625680408Z,2023-07-11T03:44:50.625680408Z,2023-07-07T10:30:00Z,27,1,591749125,5,QosFlow_TotPdcpPduVolumeDl,cellMetrics
4,2023-07-04T03:44:50.625680408Z,2023-07-11T03:44:50.625680408Z,2023-07-07T11:00:00Z,27,1,591749125,5,QosFlow_TotPdcpPduVolumeDl,cellMetrics
4,2023-07-04T03:44:50.625680408Z,2023-07-11T03:44:50.625680408Z,2023-07-07T11:30:00Z,27,1,591749125,5,QosFlow_TotPdcpPduVolumeDl,cellMetrics
4,2023-07-04T03:44:50.625680408Z,2023-07-11T03:44:50.625680408Z,2023-07-07T12:00:00Z,27,1,591749125,5,QosFlow_TotPdcpPduVolumeDl,cellMetrics
4,2023-07-04T03:44:50.625680408Z,2023-07-11T03:44:50.625680408Z,2023-07-07T12:30:00Z,27,1,591749125,5,QosFlow_TotPdcpPduVolumeDl,cellMetrics
4,2023-07-04T03:44:50.625680408Z,2023-07-11T03:44:50.625680408Z,2023-07-07T13:00:00Z,27,1,591749125,5,QosFlow_TotPdcpPduVolumeDl,cellMetrics
4,2023-07-04T03:44:50.625680408Z,2023-07-11T03:44:50.625680408Z,2023-07-07T13:30:00Z,27,1,591749125,5,QosFlow_TotPdcpPduVolumeDl,cellMetrics
4,2023-07-04T03:44:50.625680408Z,2023-07-11T03:44:50.625680408Z,2023-07-07T14:00:00Z,27,1,591749125,5,QosFlow_TotPdcpPduVolumeDl,cellMetrics
4,2023-07-04T03:44:50.625680408Z,2023-07-11T03:44:50.625680408Z,2023-07-07T14:30:00Z,27,1,591749125,5,QosFlow_TotPdcpPduVolumeDl,cellMetrics
4,2023-07-04T03:44:50.625680408Z,2023-07-11T03:44:50.625680408Z,2023-07-07T15:00:00Z,27,1,591749125,5,QosFlow_TotPdcpPduVolumeDl,cellMetrics
4,2023-07-04T03:44:50.625680408Z,2023-07-11T03:44:50.625680408Z,2023-07-07T15:30:00Z,27,1,591749125,5,QosFlow_TotPdcpPduVolumeDl,cellMetrics
4,2023-07-04T03:44:50.625680408Z,2023-07-11T03:44:50.625680408Z,2023-07-07T16:00:00Z,27,1,591749125,5,QosFlow_TotPdcpPduVolumeDl,cellMetrics
4,2023-07-04T03:44:50.625680408Z,2023-07-11T03:44:50.625680408Z,2023-07-07T16:30:00Z,27,1,591749125,5,QosFlow_TotPdcpPduVolumeDl,cellMetrics
4,2023-07-04T03:44:50.625680408Z,2023-07-11T03:44:50.625680408Z,2023-07-07T17:00:00Z,27,1,591749125,5,QosFlow_TotPdcpPduVolumeDl,cellMetrics
4,2023-07-04T03:44:50.625680408Z,2023-07-11T03:44:50.625680408Z,2023-07-07T17:30:00Z,27,1,591749125,5,QosFlow_TotPdcpPduVolumeDl,cellMetrics
4,2023-07-04T03:44:50.625680408Z,2023-07-11T03:44:50.625680408Z,2023-07-07T18:00:00Z,27,1,591749125,5,QosFlow_TotPdcpPduVolumeDl,cellMetrics
4,2023-07-04T03:44:50.625680408Z,2023-07-11T03:44:50.625680408Z,2023-07-07T18:30:00Z,27,1,591749125,5,QosFlow_TotPdcpPduVolumeDl,cellMetrics
4,2023-07-04T03:44:50.625680408Z,2023-07-11T03:44:50.625680408Z,2023-07-07T19:00:00Z,27,1,591749125,5,QosFlow_TotPdcpPduVolumeDl,cellMetrics
4,2023-07-04T03:44:50.625680408Z,2023-07-11T03:44:50.625680408Z,2023-07-07T19:30:00Z,27,1,591749125,5,QosFlow_TotPdcpPduVolumeDl,cellMetrics
4,2023-07-04T03:44:50.625680408Z,2023-07-11T03:44:50.625680408Z,2023-07-07T20:00:00Z,27,1,591749125,5,QosFlow_TotPdcpPduVolumeDl,cellMetrics
4,2023-07-04T03:44:50.625680408Z,2023-07-11T03:44:50.625680408Z,2023-07-10T03:30:00Z,27,1,591749125,5,QosFlow_TotPdcpPduVolumeDl,cellMetrics
4,2023-07-04T03:44:50.625680408Z,2023-07-11T03:44:50.625680408Z,2023-07-10T04:00:00Z,27,1,591749125,5,QosFlow_TotPdcpPduVolumeDl,cellMetrics
4,2023-07-04T03:44:50.625680408Z,2023-07-11T03:44:50.625680408Z,2023-07-10T04:30:00Z,27,1,591749125,5,QosFlow_TotPdcpPduVolumeDl,cellMetrics
4,2023-07-04T03:44:50.625680408Z,2023-07-11T03:44:50.625680408Z,2023-07-10T05:00:00Z,27,1,591749125,5,QosFlow_TotPdcpPduVolumeDl,cellMetrics
4,2023-07-04T03:44:50.625680408Z,2023-07-11T03:44:50.625680408Z,2023-07-10T05:30:00Z,27,1,591749125,5,QosFlow_TotPdcpPduVolumeDl,cellMetrics
4,2023-07-04T03:44:50.625680408Z,2023-07-11T03:44:50.625680408Z,2023-07-10T06:00:00Z,27,1,591749125,5,QosFlow_TotPdcpPduVolumeDl,cellMetrics
4,2023-07-04T03:44:50.625680408Z,2023-07-11T03:44:50.625680408Z,2023-07-10T06:30:00Z,27,1,591749125,5,QosFlow_TotPdcpPduVolumeDl,cellMetrics
4,2023-07-04T03:44:50.625680408Z,2023-07-11T03:44:50.625680408Z,2023-07-10T07:00:00Z,27,1,591749125,5,QosFlow_TotPdcpPduVolumeDl,cellMetrics
4,2023-07-04T03:44:50.625680408Z,2023-07-11T03:44:50.625680408Z,2023-07-10T07:30:00Z,27,1,591749125,5,QosFlow_TotPdcpPduVolumeDl,cellMetrics
4,2023-07-04T03:44:50.625680408Z,2023-07-11T03:44:50.625680408Z,2023-07-10T08:00:00Z,27,1,591749125,5,QosFlow_TotPdcpPduVolumeDl,cellMetrics
4,2023-07-04T03:44:50.625680408Z,2023-07-11T03:44:50.625680408Z,2023-07-10T08:30:00Z,27,1,591749125,5,QosFlow_TotPdcpPduVolumeDl,cellMetrics
4,2023-07-04T03:44:50.625680408Z,2023-07-11T03:44:50.625680408Z,2023-07-10T09:00:00Z,27,1,591749125,5,QosFlow_TotPdcpPduVolumeDl,cellMetrics
4,2023-07-04T03:44:50.625680408Z,2023-07-11T03:44:50.625680408Z,2023-07-10T09:30:00Z,27,1,591749125,5,QosFlow_TotPdcpPduVolumeDl,cellMetrics
4,2023-07-04T03:44:50.625680408Z,2023-07-11T03:44:50.625680408Z,2023-07-10T10:00:00Z,27,1,591749125,5,QosFlow_TotPdcpPduVolumeDl,cellMetrics
4,2023-07-04T03:44:50.625680408Z,2023-07-11T03:44:50.625680408Z,2023-07-10T10:30:00Z,27,1,591749125,5,QosFlow_TotPdcpPduVolumeDl,cellMetrics
4,2023-07-04T03:44:50.625680408Z,2023-07-11T03:44:50.625680408Z,2023-07-10T11:00:00Z,27,1,591749125,5,QosFlow_TotPdcpPduVolumeDl,cellMetrics
4,2023-07-04T03:44:50.625680408Z,2023-07-11T03:44:50.625680408Z,2023-07-10T11:30:00Z,27,1,591749125,5,QosFlow_TotPdcpPduVolumeDl,cellMetrics
4,2023-07-04T03:44:50.625680408Z,2023-07-11T03:44:50.625680408Z,2023-07-10T12:00:00Z,27,1,591749125,5,QosFlow_TotPdcpPduVolumeDl,cellMetrics
4,2023-07-04T03:44:50.625680408Z,2023-07-11T03:44:50.625680408Z,2023-07-10T12:30:00Z,27,1,591749125,5,QosFlow_TotPdcpPduVolumeDl,cellMetrics
4,2023-07-04T03:44:50.625680408Z,2023-07-11T03:44:50.625680408Z,2023-07-10T13:00:00Z,27,1,591749125,5,QosFlow_TotPdcpPduVolumeDl,cellMetrics
4,2023-07-04T03:44:50.625680408Z,2023-07-11T03:44:50.625680408Z,2023-07-10T13:30:00Z,27,1,591749125,5,QosFlow_TotPdcpPduVolumeDl,cellMetrics
4,2023-07-04T03:44:50.625680408Z,2023-07-11T03:44:50.625680408Z,2023-07-10T14:00:00Z,27,1,591749125,5,QosFlow_TotPdcpPduVolumeDl,cellMetrics
4,2023-07-04T03:44:50.625680408Z,2023-07-11T03:44:50.625680408Z,2023-07-10T14:30:00Z,27,1,591749125,5,QosFlow_TotPdcpPduVolumeDl,cellMetrics
4,2023-07-04T03:44:50.625680408Z,2023-07-11T03:44:50.625680408Z,2023-07-10T15:00:00Z,27,1,591749125,5,QosFlow_TotPdcpPduVolumeDl,cellMetrics
4,2023-07-04T03:44:50.625680408Z,2023-07-11T03:44:50.625680408Z,2023-07-10T15:30:00Z,27,1,591749125,5,QosFlow_TotPdcpPduVolumeDl,cellMetrics
4,2023-07-04T03:44:50.625680408Z,2023-07-11T03:44:50.625680408Z,2023-07-10T16:00:00Z,27,1,591749125,5,QosFlow_TotPdcpPduVolumeDl,cellMetrics
4,2023-07-04T03:44:50.625680408Z,2023-07-11T03:44:50.625680408Z,2023-07-10T16:30:00Z,27,1,591749125,5,QosFlow_TotPdcpPduVolumeDl,cellMetrics
4,2023-07-04T03:44:50.625680408Z,2023-07-11T03:44:50.625680408Z,2023-07-10T17:00:00Z,27,1,591749125,5,QosFlow_TotPdcpPduVolumeDl,cellMetrics
5,2023-07-04T03:44:50.625680408Z,2023-07-11T03:44:50.625680408Z,2023-07-07T03:30:00Z,27,1,591749125,5,QosFlow_TotPdcpPduVolumeUl,cellMetrics
5,2023-07-04T03:44:50.625680408Z,2023-07-11T03:44:50.625680408Z,2023-07-07T04:00:00Z,27,1,591749125,5,QosFlow_TotPdcpPduVolumeUl,cellMetrics
5,2023-07-04T03:44:50.625680408Z,2023-07-11T03:44:50.625680408Z,2023-07-07T04:30:00Z,27,1,591749125,5,QosFlow_TotPdcpPduVolumeUl,cellMetrics
5,2023-07-04T03:44:50.625680408Z,2023-07-11T03:44:50.625680408Z,2023-07-07T05:00:00Z,27,1,591749125,5,QosFlow_TotPdcpPduVolumeUl,cellMetrics
5,2023-07-04T03:44:50.625680408Z,2023-07-11T03:44:50.625680408Z,2023-07-07T05:30:00Z,27,1,591749125,5,QosFlow_TotPdcpPduVolumeUl,cellMetrics
5,2023-07-04T03:44:50.625680408Z,2023-07-11T03:44:50.625680408Z,2023-07-07T06:00:00Z,27,1,591749125,5,QosFlow_TotPdcpPduVolumeUl,cellMetrics
5,2023-07-04T03:44:50.625680408Z,2023-07-11T03:44:50.625680408Z,2023-07-07T06:30:00Z,27,1,591749125,5,QosFlow_TotPdcpPduVolumeUl,cellMetrics
5,2023-07-04T03:44:50.625680408Z,2023-07-11T03:44:50.625680408Z,2023-07-07T07:00:00Z,27,1,591749125,5,QosFlow_TotPdcpPduVolumeUl,cellMetrics
5,2023-07-04T03:44:50.625680408Z,2023-07-11T03:44:50.625680408Z,2023-07-07T07:30:00Z,27,1,591749125,5,QosFlow_TotPdcpPduVolumeUl,cellMetrics
5,2023-07-04T03:44:50.625680408Z,2023-07-11T03:44:50.625680408Z,2023-07-07T08:00:00Z,27,1,591749125,5,QosFlow_TotPdcpPduVolumeUl,cellMetrics
